Obj Cantidad Salud Educacion Violencia Delincuencia Empleo Deporte Seguridad Entretenimiento
rancho 0 1 0 0 1 2 0 1 0	
majunche 0 2 0 0 2 3 0 1 0 	
palafito 0 1 0 0 1 3 0 1 1
petrocasa 0 2 0 0 2 2 0 1 0
viviendadigna 0 1 0 0 1 2 0 1 0
amb_barrio_adentro 0 4 0 1 0 3 0 0 0
simoncito 0 0 8 0 2 3 2 0 0
urba_ser 0 6 0 0 0 4 0 0 0
planta 0 4 2 0 0 4 2 0 3
escuela 0 0 8 0 3 4 2 0 0
aguas 0 8 3 0 1 4 3 0 0
parque 0 0 0 0 0 4 1 0 6
escenario 0 0 0 0 0 4 0 0 5
parque1 0 0 0 0 0 5 0 0 7
parque2 0 0 0 0 0 6 3 0 7
cancha 0 3 0 0 0 4 8 0 5
acera_arena 0 0 0 0 0 4 0 0 0
camino 0 0 0 0 0 3 0 0 0
camellon 0 0 0 0 0 3 0 0 0
concreto 0 0 0 0 0 3 0 0 0
carpinteria 0 0 0 0 0 4 0 0 0
cafeteria 0 1 0 0 0 4 0 0 0
fruteria 0 3 0 0 0 4 0 0 0
granja 0 0 0 0 0 4 0 0 0
licoreria 0 -4 -2 -1 -2 4 -2 -2 2
mercal 0 1 0 0 0 4 0 0 0
restaurante 0 0 0 0 0 4 0 0 0




 



